"conversation_id","datestamp","datetime","hashtags","likes_count","mentions","replies_count","retweet","retweet_date","retweets_count","timestamp","timezone","tweet","username","valence","arousal"
"1268870886427328516","2020-06-05","1591370012000","[]","0","['zoolander_the']","0","False","","0","16:13:32","GMT Daylight Time","Ok, thanks. As you use your personal account for your business you will need to open a Business Current Account before applying for a Bounce Back Loan. You can see full details here:  http://spr.ly/6019GGe3W  ^James M","lloydsbank","0.6106363636363635","0.39072727272727276"
"1268915467088953344","2020-06-05","1591369438000","[]","0","['chrisbailey2']","1","False","","0","16:03:58","GMT Daylight Time","Hi Chris, if you've received the email from us about applying for the Bounce Back Loan this would normally mention that subject to checks the funds would be paid with 3 days of it being successful. We'd be unable to speed up the application process I'm afraid. ^Laura M","lloydsbank","0.574923076923077","0.4025384615384615"
"1268920106605850624","2020-06-05","1591369103000","[]","0","['barclaysbizchat']","3","False","","0","15:58:23","GMT Daylight Time","@BarclaysBizChat regarding the bounce back loans and a business customer your service has been appealing. 2hrs in hold to be told I've called to request a call back. 3 weeks later no call back just a text stating the following.","cptargett","0.56","0.4298333333333333"
"1268915140763832321","2020-06-05","1591368551000","[]","0","['riastones']","1","False","","0","15:49:11","GMT Daylight Time","Hi, I'm Lara. Thanks for tweeting Ria. If you manage your business through a Personal Current Account with us, you'll need to open a Business Current Account before applying for a Bounce Back Loan. For full details, please visit:  http://spr.ly/6010GGdtI 
I hope this helps.","lloydsbankbiz","0.6511666666666667","0.45416666666666666"
"1268917545974804482","2020-06-05","1591368492000","['#bouncebackloans', '#covid19', '#smallbusiness']","3","['ed_miliband', 'uklabour']","0","False","","0","15:48:12","GMT Daylight Time","@Ed_Miliband Our 2 year old £320k t/o business is STILL waiting a month after applying for #bouncebackloans EVERY bank we speak to has 40,000+ applications outstanding. What would @UKLabour do to force banks to resource this & rise to the #COVID19 challenge & help #SmallBusiness? pic.twitter.com/eXdjrC4keO","davidcoxuk","0.587","0.4698571428571429"
"1268912320853524480","2020-06-05","1591368472000","[]","0","['crampell']","0","False","","0","15:47:52","GMT Daylight Time","Many of these jobs may only be back temporarily.  PPP loans allowed employers to keep them.  No therapeutic, no vaccine, businesses forced to operate at limited capacity, still 13+% unemployment, and a likely 2nd wave coming.

Dead cat bounce.","d_twitt3r","0.5608181818181818","0.39209090909090916"
"1268915502128259085","2020-06-05","1591368442000","[]","0","['senmcsallyaz']","0","False","","0","15:47:22","GMT Daylight Time","The low wage slaves have been forced back to work to serve you beer, buff your nails, and cut your hair. This may be a short bounce as COVID rebounds and as employers with PP loans are released from having to maintain 100% of their payroll.","snarkyjarky","0.5436666666666666","0.4248000000000001"
"1268839689315893261","2020-06-05","1591368266000","[]","0","['jabz_lcf', 'natwestbusiness']","0","False","","0","15:44:26","GMT Daylight Time","Hi there, If you have any questions regarding your bounce back loan application, you would be best to speak with our business team. You can contact them via @NatWestBusiness, via secure messaging the Mobile App or Online Banking or you can call them on 0345 711 4477. RC","natwest_help","0.6322307692307694","0.4383846153846153"
"1268915140763832321","2020-06-05","1591367919000","[]","0","['lloydsbankbiz']","1","False","","0","15:38:39","GMT Daylight Time","@LloydsBankBiz hi! Can you apply for a bounce back loan if you have only used your personal account for business? Thanks","riastones","0.5461250000000001","0.3925"
"1268895059195330565","2020-06-05","1591367751000","[]","0","['jstein_wapo', 'biblulz']","0","False","","0","15:35:51","GMT Daylight Time","@biblulz Jesus. They give out ppp loans that require employers to rehire REGARDLESS of revenue and now they’re saying employment numbers show a bounce back economy? 

Do they not understand incentives? Once ppp loans run out, not good.","sjsharkz19","0.5965","0.5048"
